symbol,code,name
4848.T,4848,フルキャストホールディングス
4849.T,4849,エン
4875.T,4875,メディシノバ・インク
4880.T,4880,セルソース
4881.T,4881,ファンペップ
4882.T,4882,ペルセウスプロテオミクス
4883.T,4883,モダリス
4884.T,4884,クリングルファーマ
4885.T,4885,室町ケミカル
4886.T,4886,あすか製薬ホールディングス
4887.T,4887,サワイグループホールディングス
4888.T,4888,ステラファーマ
4889.T,4889,レナサイエンス
4890.T,4890,坪田ラボ
4891.T,4891,ティムス
4892.T,4892,サイフューズ
4893.T,4893,ノイルイミューン・バイオテック
4894.T,4894,クオリプス
4896.T,4896,ケイファーマ
4901.T,4901,富士フイルムホールディングス
4902.T,4902,コニカミノルタ
4911.T,4911,資生堂
4912.T,4912,ライオン
4914.T,4914,高砂香料工業
4917.T,4917,マンダム
4918.T,4918,アイビー化粧品
4919.T,4919,ミルボン
4920.T,4920,日本色材工業研究所
4922.T,4922,コーセー
4923.T,4923,コタ
4925.T,4925,ハーバー研究所
4926.T,4926,シーボン
4927.T,4927,ポーラ・オルビスホールディングス
4928.T,4928,ノエビアホールディングス
4929.T,4929,アジュバンホールディングス
4931.T,4931,新日本製薬
4932.T,4932,アルマード
4933.T,4933,Ｉ－ｎｅ
4934.T,4934,プレミアアンチエイジング
4935.T,4935,リベルタ
4936.T,4936,アクシージア
4937.T,4937,Ｗａｑｏｏ
4951.T,4951,エステー
4956.T,4956,コニシ
4957.T,4957,ヤスハラケミカル
4958.T,4958,長谷川香料
4960.T,4960,ケミプロ化成
4966.T,4966,上村工業
4967.T,4967,小林製薬
4968.T,4968,荒川化学工業
4970.T,4970,東洋合成工業
4971.T,4971,メック
4972.T,4972,綜研化学
4973.T,4973,日本高純度化学
4974.T,4974,タカラバイオ
4975.T,4975,ＪＣＵ
4976.T,4976,東洋ドライルーブ
4977.T,4977,新田ゼラチン
4978.T,4978,リプロセル
4979.T,4979,ＯＡＴアグリオ
4980.T,4980,デクセリアルズ
4985.T,4985,アース製薬
4990.T,4990,昭和化学工業
4992.T,4992,北興化学工業
4994.T,4994,大成ラミックグループ
4996.T,4996,クミアイ化学工業
4997.T,4997,日本農薬
4998.T,4998,フマキラー
5010.T,5010,日本精蝋
5011.T,5011,ニチレキグループ
5013.T,5013,ユシロ
5015.T,5015,ビーピー・カストロール
5016.T,5016,ＪＸ金属
5017.T,5017,富士石油
5018.T,5018,ＭＯＲＥＳＣＯ
5019.T,5019,出光興産
5020.T,5020,ＥＮＥＯＳホールディングス
5021.T,5021,コスモエネルギーホールディングス
5022.T,5022,レボインターナショナル
5025.T,5025,マーキュリー
5026.T,5026,トリプルアイズ
5027.T,5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ
5028.T,5028,セカンドサイトアナリティカ
5029.T,5029,サークレイス
5031.T,5031,モイ
5032.T,5032,ＡＮＹＣＯＬＯＲ
5033.T,5033,ヌーラボ
5034.T,5034,ｕｎｅｒｒｙ
5035.T,5035,ＨＯＵＳＥＩ
5036.T,5036,日本ビジネスシステムズ
5037.T,5037,フィットワークス
5038.T,5038,ｅＷｅＬＬ
5070.T,5070,ドラフト
5071.T,5071,ヴィス
5072.T,5072,アートフォースジャパン
5074.T,5074,テスホールディングス
5076.T,5076,インフロニア・ホールディングス
5077.T,5077,ハンズ
5078.T,5078,セレコーポレーション
5079.T,5079,ノバック
5101.T,5101,横浜ゴム
5103.T,5103,昭和ホールディングス
5105.T,5105,ＴＯＹＯ　ＴＩＲＥ
5108.T,5108,ブリヂストン
5110.T,5110,住友ゴム工業
5121.T,5121,藤倉コンポジット
5122.T,5122,オカモト
5125.T,5125,ファインズ
5126.T,5126,ポーターズ
5129.T,5129,ＦＩＸＥＲ
5130.T,5130,ヒロホールディングス
5131.T,5131,リンカーズ
5132.T,5132,ｐｌｕｓｚｅｒｏ
5133.T,5133,テリロジーホールディングス
5134.T,5134,ＰＯＰＥＲ
5135.T,5135,ＡＩＲ－Ｕ
5136.T,5136,ｔｒｉｐｌａ
5137.T,5137,スマートドライブ
5138.T,5138,Ｒｅｂａｓｅ
5139.T,5139,オープンワーク
5142.T,5142,アキレス
5161.T,5161,西川ゴム工業
5162.T,5162,朝日ラバー
5184.T,5184,ニチリン
5185.T,5185,フコク
5186.T,5186,ニッタ
5187.T,5187,クリエートメディック
5189.T,5189,櫻護謨
5191.T,5191,住友理工
5192.T,5192,三ツ星ベルト
5194.T,5194,相模ゴム工業
5195.T,5195,バンドー化学
5199.T,5199,不二ラテックス
5201.T,5201,ＡＧＣ
5202.T,5202,日本板硝子
5204.T,5204,石塚硝子
5208.T,5208,有沢製作所
5210.T,5210,日本山村硝子
5214.T,5214,日本電気硝子
5216.T,5216,倉元製作所
5218.T,5218,オハラ
5232.T,5232,住友大阪セメント
5233.T,5233,太平洋セメント
5237.T,5237,ノザワ
5240.T,5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ
5242.T,5242,アイズ
5243.T,5243,ｎｏｔｅ
5244.T,5244,ｊｉｇ．ｊｐ
5246.T,5246,ＥＬＥＭＥＮＴＳ
5247.T,5247,ＢＴＭ
5248.T,5248,テクノロジーズ
5249.T,5249,あさかわシステムズ
5250.T,5250,プライム・ストラテジー
5251.T,5251,ウイズ・ワン
5252.T,5252,日本ナレッジ
5253.T,5253,カバー
5254.T,5254,Ａｒｅｎｔ
5255.T,5255,モンスターラボ
5256.T,5256,Ｆｕｓｉｃ
5257.T,5257,ノバシステム
5258.T,5258,トランザクション・メディア・ネットワークス
5259.T,5259,ＢＢＤイニシアティブ
5261.T,5261,リソルホールディングス
5262.T,5262,日本ヒューム
5268.T,5268,旭コンクリート工業
5269.T,5269,日本コンクリート工業
5271.T,5271,トーヨーアサノ
5273.T,5273,三谷セキサン
5279.T,5279,日本興業
5280.T,5280,ヨシコン
5282.T,5282,ジオスター
5283.T,5283,高見澤
5284.T,5284,ヤマウホールディングス
5285.T,5285,ヤマックス
5287.T,5287,イトーヨーギョー
5288.T,5288,アジアパイルホールディングス
5290.T,5290,ベルテクスコーポレーション
5301.T,5301,東海カーボン
5302.T,5302,日本カーボン
5304.T,5304,ＳＥＣカーボン
5310.T,5310,東洋炭素
5331.T,5331,ノリタケ
5332.T,5332,ＴＯＴＯ
5333.T,5333,日本碍子
5334.T,5334,日本特殊陶業
5337.T,5337,ダントーホールディングス
5341.T,5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス
5344.T,5344,ＭＡＲＵＷＡ
5351.T,5351,品川リフラ
5352.T,5352,黒崎播磨
5355.T,5355,日本坩堝
5356.T,5356,美濃窯業
5357.T,5357,ヨータイ
5363.T,5363,東京窯業
5367.T,5367,ニッカトー
5368.T,5368,日本インシュレーション
5380.T,5380,新東
5381.T,5381,マイポックス
5384.T,5384,フジミインコーポレーテッド
5386.T,5386,鶴弥
5388.T,5388,クニミネ工業
5391.T,5391,エーアンドエーマテリアル
5393.T,5393,ニチアス
5401.T,5401,日本製鉄
5406.T,5406,神戸製鋼所
5408.T,5408,中山製鋼所
5410.T,5410,合同製鐵
5411.T,5411,ＪＦＥホールディングス
5423.T,5423,東京製鐵
5440.T,5440,共英製鋼
5444.T,5444,大和工業
5445.T,5445,東京鐵鋼
5446.T,5446,北越メタル
5449.T,5449,大阪製鐵
5451.T,5451,ヨドコウ
5458.T,5458,高砂鐵工
5461.T,5461,中部鋼鈑
5463.T,5463,丸一鋼管
5464.T,5464,モリ工業
5471.T,5471,大同特殊鋼
5476.T,5476,日本高周波鋼業
5480.T,5480,日本冶金工業
5482.T,5482,愛知製鋼
5484.T,5484,東北特殊鋼
5491.T,5491,日本金属
5525.T,5525,フロンティアホールディングス
5527.T,5527,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ
5528.T,5528,フロンティアハウス
5531.T,5531,中山不動産
5532.T,5532,リアルゲイト
5533.T,5533,エリッツホールディングス
5534.T,5534,エンゼルグループ
5535.T,5535,ミガロホールディングス
5536.T,5536,京橋アートレジデンス
5537.T,5537,ＡｌｂａＬｉｎｋ
5541.T,5541,大平洋金属
5542.T,5542,新報国マテリアル
5563.T,5563,新日本電工
5570.T,5570,ジェノバ
5571.T,5571,エキサイトホールディングス
5572.T,5572,Ｒｉｄｇｅ－ｉ
5573.T,5573,働楽ホールディングス
5574.T,5574,ＡＢＥＪＡ
5575.T,5575,Ｇｌｏｂｅｅ
5576.T,5576,オービーシステム
5578.T,5578,ＡＲアドバンストテクノロジ
5580.T,5580,プロディライト
5581.T,5581,カイテクノロジー
5582.T,5582,グリッド
5584.T,5584,Ｓｔｒａｗｂｅｒｒｙ　ｊａｍｓ
5586.T,5586,Ｌａｂｏｒｏ．ＡＩ
5587.T,5587,インバウンドプラットフォーム
5588.T,5588,ファーストアカウンティング
5589.T,5589,オートサーバー
5590.T,5590,ネットスターズ
5591.T,5591,ＡＶＩＬＥＮ
5592.T,5592,くすりの窓口
5594.T,5594,エム・デー・ビー
5596.T,5596,アウトルックコンサルティング
5597.T,5597,ブルーイノベーション
5598.T,5598,Ｙｏｔｔａｖｉａｓ
5599.T,5599,Ｓ＆Ｊ
5602.T,5602,栗本鐵工所
5603.T,5603,虹技
5609.T,5609,日本鋳造
5612.T,5612,日本鋳鉄管
5616.T,5616,雨風太陽
5617.T,5617,ウィル・ドゥ
5618.T,5618,ナイル
5619.T,5619,マーソ
5620.T,5620,エスピーオー
5621.T,5621,ヒューマンテクノロジーズ
5622.T,5622,ワンビ
5631.T,5631,日本製鋼所
5632.T,5632,三菱製鋼
5644.T,5644,メタルアート
5658.T,5658,日亜鋼業
5659.T,5659,日本精線
5660.T,5660,神鋼鋼線工業
5695.T,5695,パウダーテック
5697.T,5697,サンユウ
5698.T,5698,エンビプロ・ホールディングス
5699.T,5699,イボキン
5702.T,5702,大紀アルミニウム工業所
5703.T,5703,日本軽金属ホールディングス
5704.T,5704,ＪＭＣ
5706.T,5706,三井金属
5707.T,5707,東邦亜鉛
5711.T,5711,三菱マテリアル
5713.T,5713,住友金属鉱山
5714.T,5714,ＤＯＷＡホールディングス
5715.T,5715,古河機械金属
5721.T,5721,エス・サイエンス
5724.T,5724,アサカ理研
5726.T,5726,大阪チタニウムテクノロジーズ
5727.T,5727,東邦チタニウム
5729.T,5729,日本精鉱
5741.T,5741,ＵＡＣＪ
5742.T,5742,エヌアイシ・オートテック
5753.T,5753,日本伸銅
5757.T,5757,ＣＫサンエツ
5801.T,5801,古河電気工業
5802.T,5802,住友電気工業
5803.T,5803,フジクラ
5805.T,5805,ＳＷＣＣ
5816.T,5816,オーナンバ
5817.T,5817,ＪＭＡＣＳ
5819.T,5819,カナレ電気
5820.T,5820,三ッ星
5821.T,5821,平河ヒューテック
5830.T,5830,いよぎんホールディングス
5831.T,5831,しずおかフィナンシャルグループ
5832.T,5832,ちゅうぎんフィナンシャルグループ
5834.T,5834,ＳＢＩリーシングサービス
5838.T,5838,楽天銀行
5840.T,5840,日本総険
5842.T,5842,インテグラル
5843.T,5843,ニッポンインシュア
5844.T,5844,京都フィナンシャルグループ
5845.T,5845,全保連
5851.T,5851,リョービ
5852.T,5852,アーレスティ
5856.T,5856,エルアイイーエイチ
5857.T,5857,ＡＲＥホールディングス
5858.T,5858,ＳＴＧ
5866.T,5866,ＷｉｚＢｉｚ
5867.T,5867,エスネットワークス
5868.T,5868,ロココ
5869.T,5869,早稲田学習研究会
5870.T,5870,ナルネットコミュニケーションズ
5871.T,5871,ＳＯＬＩＺＥ　Ｈｏｌｄｉｎｇｓ
5883.T,5883,ＧＴホールディングス
5884.T,5884,クラダシ
5885.T,5885,ジーデップ・アドバンス
5886.T,5886,ＯＯＫＡＢＥ　ＧＬＡＳＳ
5887.T,5887,光響
5888.T,5888,ＤＡＩＷＡ　ＣＹＣＬＥ
5889.T,5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ
5890.T,5890,オフィスバスターズ
5891.T,5891,魁力屋
5892.T,5892,ｙｕｔｏｒｉ
5893.T,5893,ＲＡＶＩＰＡ
5900.T,5900,ダイケン
5901.T,5901,東洋製罐グループホールディングス
5902.T,5902,ホッカンホールディングス
5903.T,5903,シンポ
5905.T,5905,日本製罐
5906.T,5906,エムケー精工
5909.T,5909,コロナ
5911.T,5911,横河ブリッジホールディングス
5915.T,5915,駒井ハルテック
5918.T,5918,瀧上工業
5921.T,5921,川岸工業
5922.T,5922,那須電機鉄工
5923.T,5923,高田機工
5928.T,5928,アルメタックス
5929.T,5929,三和ホールディングス
5930.T,5930,文化シヤッター
5932.T,5932,三協立山
5933.T,5933,アルインコ
5936.T,5936,東洋シヤッター
5938.T,5938,ＬＩＸＩＬ
5939.T,5939,大谷工業
5940.T,5940,不二サッシ
5941.T,5941,中西製作所
5942.T,5942,日本フイルコン
5943.T,5943,ノーリツ
5945.T,5945,天龍製鋸
5946.T,5946,長府製作所
5947.T,5947,リンナイ
5949.T,5949,ユニプレス
5950.T,5950,日本パワーファスニング
5951.T,5951,ダイニチ工業
5952.T,5952,アマテイ
5955.T,5955,ワイズホールディングス
5956.T,5956,トーソー
5957.T,5957,日東精工
5958.T,5958,三洋工業
5959.T,5959,岡部
5962.T,5962,浅香工業
5965.T,5965,フジマック
5966.T,5966,京都機械工具
5967.T,5967,ＴＯＮＥ
5969.T,5969,ロブテックス
5970.T,5970,ジーテクト
5971.T,5971,共和工業所
5973.T,5973,トーアミ
5974.T,5974,中国工業
5975.T,5975,東プレ
5976.T,5976,高周波熱錬
5981.T,5981,東京製綱
5982.T,5982,マルゼン
5983.T,5983,イワブチ
5984.T,5984,兼房
5985.T,5985,サンコール
5986.T,5986,モリテック　スチール
5987.T,5987,オーネックス
5988.T,5988,パイオラックス
5989.T,5989,エイチワン
5990.T,5990,スーパーツール
5991.T,5991,日本発條
5992.T,5992,中央発條
5994.T,5994,ファインシンター
5997.T,5997,協立エアテック
5998.T,5998,アドバネクス
6005.T,6005,三浦工業
6013.T,6013,タクマ
6016.T,6016,ジャパンエンジンコーポレーション
6018.T,6018,阪神内燃機工業
6022.T,6022,赤阪鐵工所
6023.T,6023,ダイハツインフィニアース
6027.T,6027,弁護士ドットコム
6028.T,6028,テクノプロ・ホールディングス
6029.T,6029,アトラグループ
6030.T,6030,アドベンチャー
6031.T,6031,ＺＥＴＡ
6033.T,6033,エクストリーム
6034.T,6034,ＭＲＴ
6035.T,6035,アイ・アールジャパンホールディングス
6036.T,6036,ＫｅｅＰｅｒ技研
6037.T,6037,楽待
6038.T,6038,イード
6039.T,6039,日本動物高度医療センター
6040.T,6040,日本スキー場開発
6042.T,6042,ニッキ
6044.T,6044,三機サービス
6045.T,6045,レントラックス
6046.T,6046,リンクバル
6047.T,6047,Ｇｕｎｏｓｙ
6049.T,6049,イトクロ
6050.T,6050,イー・ガーディアン
6054.T,6054,リブセンス
6055.T,6055,ジャパンマテリアル
6058.T,6058,ベクトル
6059.T,6059,ウチヤマホールディングス
6060.T,6060,こころネット
6061.T,6061,ユニバーサル園芸社
6062.T,6062,チャーム・ケア・コーポレーション
6063.T,6063,日本エマージェンシーアシスタンス
6069.T,6069,トレンダーズ
6070.T,6070,キャリアリンク
6071.T,6071,ＩＢＪ
6072.T,6072,地盤ネットホールディングス
6073.T,6073,アサンテ
6074.T,6074,ジェイエスエス
6078.T,6078,バリューＨＲ
6080.T,6080,Ｍ＆Ａキャピタルパートナーズ
6081.T,6081,アライドアーキテクツ
6082.T,6082,ライドオンエクスプレスホールディングス
6083.T,6083,ＥＲＩホールディングス
6085.T,6085,アーキテクツ・スタジオ・ジャパン
6086.T,6086,シンメンテホールディングス
6087.T,6087,アビスト
6088.T,6088,シグマクシス・ホールディングス
6089.T,6089,ウィルグループ
6090.T,6090,ヒューマン・メタボローム・テクノロジーズ
6091.T,6091,ウエスコホールディングス
6092.T,6092,エンバイオ・ホールディングス
6093.T,6093,エスクロー・エージェント・ジャパン
6094.T,6094,フリークアウト・ホールディングス
6096.T,6096,レアジョブ
6098.T,6098,リクルートホールディングス
6099.T,6099,エラン
6101.T,6101,ツガミ
6103.T,6103,オークマ
6104.T,6104,芝浦機械
6113.T,6113,アマダ
6118.T,6118,アイダエンジニアリング
6125.T,6125,岡本工作機械製作所
6134.T,6134,ＦＵＪＩ
6135.T,6135,牧野フライス製作所
6136.T,6136,オーエスジー
6137.T,6137,小池酸素工業
6138.T,6138,ダイジェット工業
6140.T,6140,旭ダイヤモンド工業
6141.T,6141,ＤＭＧ森精機
6143.T,6143,ソディック
6144.T,6144,西部電機
6145.T,6145,ＮＩＴＴＯＫＵ
6146.T,6146,ディスコ
6147.T,6147,ヤマザキ
6149.T,6149,小田原エンジニアリング
6150.T,6150,タケダ機械
6151.T,6151,日東工器
6155.T,6155,高松機械工業
6156.T,6156,エーワン精密
6157.T,6157,日進工具
6158.T,6158,和井田製作所
6159.T,6159,ミクロン精密
6161.T,6161,エスティック
6165.T,6165,パンチ工業
6166.T,6166,中村超硬
6167.T,6167,冨士ダイス
6168.T,6168,ＯＮＥ　ＧＲＯＵＰ
6171.T,6171,土木管理総合試験所
6173.T,6173,アクアライン
6174.T,6174,デンタス
6176.T,6176,ブランジスタ
6177.T,6177,ＡｐｐＢａｎｋ
6178.T,6178,日本郵政
6180.T,6180,ＧＭＯメディア
6181.T,6181,タメニー
6182.T,6182,メタリアル
6183.T,6183,ベルシステム２４ホールディングス
6184.T,6184,鎌倉新書
6185.T,6185,ＳＭＮ
6186.T,6186,一蔵
6189.T,6189,グローバルキッズＣＯＭＰＡＮＹ
6190.T,6190,フェニックスバイオ
6191.T,6191,エアトリ
6193.T,6193,バーチャレクス・ホールディングス
6194.T,6194,アトラエ
6195.T,6195,ホープ
6196.T,6196,ストライク
6197.T,6197,ソラスト
6198.T,6198,キャリア
6199.T,6199,セラク
6200.T,6200,インソース
6201.T,6201,豊田自動織機
6203.T,6203,豊和工業
6208.T,6208,石川製作所
6209.T,6209,リケンＮＰＲ
6210.T,6210,ＴＯＹＯイノベックス
6217.T,6217,津田駒工業
6218.T,6218,エンシュウ
6222.T,6222,島精機製作所
6223.T,6223,西部技研
6224.T,6224,ＪＲＣ
6226.T,6226,守谷輸送機工業
6227.T,6227,ＡＩメカテック
6228.T,6228,ジェイ・イー・ティ
6229.T,6229,オーケーエム
6230.T,6230,ＳＡＮＥＩ
6231.T,6231,木村工機
6232.T,6232,ＡＣＳＬ
6233.T,6233,ＫＬＡＳＳ
6235.T,6235,オプトラン
6237.T,6237,イワキポンプ
6238.T,6238,フリュー
6239.T,6239,ナガオカ
6240.T,6240,ヤマシンフィルタ
6245.T,6245,ヒラノテクシード
6246.T,6246,テクノスマート
6247.T,6247,日阪製作所
6248.T,6248,横田製作所
6249.T,6249,ゲームカードホールディングス
6250.T,6250,やまびこ
6254.T,6254,野村マイクロ・サイエンス
6255.T,6255,エヌ・ピー・シー
6257.T,6257,藤商事
6258.T,6258,平田機工
6262.T,6262,ＰＥＧＡＳＵＳ
6264.T,6264,マルマエ
6265.T,6265,コンバム
6266.T,6266,タツモ
6267.T,6267,ゼネラルパッカー
6268.T,6268,ナブテスコ
6269.T,6269,三井海洋開発
6272.T,6272,レオン自動機
6273.T,6273,ＳＭＣ
6276.T,6276,シリウスビジョン
6277.T,6277,ホソカワミクロン
6278.T,6278,ユニオンツール
6279.T,6279,瑞光
6282.T,6282,オイレス工業
6284.T,6284,日精エー・エス・ビー機械
6286.T,6286,靜甲
6287.T,6287,サトー
6289.T,6289,技研製作所
6291.T,6291,日本エアーテック
6292.T,6292,カワタ
6293.T,6293,日精樹脂工業
6294.T,6294,オカダアイヨン
6298.T,6298,ワイエイシイホールディングス
6301.T,6301,小松製作所
6302.T,6302,住友重機械工業
6305.T,6305,日立建機
6306.T,6306,日工
6307.T,6307,サンセイ
6309.T,6309,巴工業
6310.T,6310,井関農機
6312.T,6312,フロイント産業
6315.T,6315,ＴＯＷＡ
6316.T,6316,丸山製作所
6317.T,6317,北川鉄工所
6322.T,6322,タクミナ
6323.T,6323,ローツェ
6324.T,6324,ハーモニック・ドライブ・システムズ
6325.T,6325,タカキタ
6326.T,6326,クボタ
6327.T,6327,北川精機
6328.T,6328,荏原実業
6330.T,6330,東洋エンジニアリング
6331.T,6331,三菱化工機
6332.T,6332,月島ホールディングス
6333.T,6333,帝国電機製作所
6334.T,6334,明治機械
6335.T,6335,東京機械製作所
6336.T,6336,石井表記
6337.T,6337,テセック
6338.T,6338,タカトリ
6339.T,6339,新東工業
6340.T,6340,澁谷工業
6342.T,6342,太平製作所
6343.T,6343,フリージア・マクロス
6345.T,6345,アイチ　コーポレーション
6346.T,6346,キクカワエンタープライズ
6347.T,6347,プラコー
6349.T,6349,小森コーポレーション
6351.T,6351,鶴見製作所
6356.T,6356,日本ギア工業
6357.T,6357,三精テクノロジーズ
6358.T,6358,酒井重工業
6360.T,6360,東京自働機械製作所
6361.T,6361,荏原製作所
6363.T,6363,酉島製作所
6364.T,6364,ＡＩＲＭＡＮ
6365.T,6365,電業社機械製作所
6366.T,6366,千代田化工建設
6367.T,6367,ダイキン工業
6368.T,6368,オルガノ
6369.T,6369,トーヨーカネツ
6370.T,6370,栗田工業
6371.T,6371,椿本チエイン
6373.T,6373,大同工業
6376.T,6376,日機装
6378.T,6378,木村化工機
6379.T,6379,レイズネクスト
6380.T,6380,オリエンタルチエン工業
6381.T,6381,アネスト岩田
6382.T,6382,トリニティ工業
6383.T,6383,ダイフク
6384.T,6384,昭和真空
6387.T,6387,サムコ
6390.T,6390,加藤製作所
6391.T,6391,加地テック
6392.T,6392,ヤマダコーポレーション
6393.T,6393,油研工業
6395.T,6395,タダノ
6396.T,6396,宇野澤組鐵工所
6400.T,6400,不二精機
6402.T,6402,兼松エンジニアリング
6403.T,6403,水道機工
6405.T,6405,鈴茂器工
6406.T,6406,フジテック
6407.T,6407,ＣＫＤ
6408.T,6408,小倉クラッチ
6412.T,6412,平和
6413.T,6413,理想科学工業
6417.T,6417,ＳＡＮＫＹＯ
6418.T,6418,日本金銭機械
6419.T,6419,マースグループホールディングス
6420.T,6420,ガリレイ
6424.T,6424,高見沢サイバネティックス
6425.T,6425,ユニバーサルエンターテインメント
6428.T,6428,オーイズミ
6430.T,6430,ダイコク電機
6432.T,6432,竹内製作所
6433.T,6433,ヒーハイスト
6436.T,6436,アマノ
6440.T,6440,ＪＵＫＩ
6444.T,6444,サンデン
6445.T,6445,ジャノメ
6448.T,6448,ブラザー工業
6454.T,6454,マックス
6455.T,6455,モリタホールディングス
6457.T,6457,グローリー
6458.T,6458,新晃工業
6459.T,6459,大和冷機工業
6460.T,6460,セガサミーホールディングス
6463.T,6463,ＴＰＲ
6464.T,6464,ツバキ・ナカシマ
6465.T,6465,ホシザキ
6466.T,6466,ＴＶＥ
6467.T,6467,ニチダイ
6469.T,6469,放電精密加工研究所
6470.T,6470,大豊工業
6471.T,6471,日本精工
6472.T,6472,ＮＴＮ
6473.T,6473,ジェイテクト
6474.T,6474,不二越
6479.T,6479,ミネベアミツミ
6480.T,6480,日本トムソン
6481.T,6481,ＴＨＫ
6482.T,6482,ＹＵＳＨＩＮ
6484.T,6484,ＫＶＫ
6485.T,6485,前澤給装工業
6486.T,6486,イーグル工業
6488.T,6488,ヨシタケ
6489.T,6489,前澤工業
6490.T,6490,ＰＩＬＬＡＲ
6492.T,6492,岡野バルブ製造
6493.T,6493,ＮＩＴＴＡＮ
6494.T,6494,ＮＦＫホールディングス
6495.T,6495,宮入バルブ製作所
6496.T,6496,中北製作所
6497.T,6497,ハマイ
6498.T,6498,キッツ
6501.T,6501,日立製作所
6503.T,6503,三菱電機
6504.T,6504,富士電機
6505.T,6505,東洋電機製造
6506.T,6506,安川電機
6507.T,6507,シンフォニアテクノロジー
6508.T,6508,明電舎
6513.T,6513,オリジン
6516.T,6516,山洋電気
6517.T,6517,デンヨー
6518.T,6518,三相電機
6521.T,6521,オキサイド
6522.T,6522,アスタリスク
6523.T,6523,ＰＨＣホールディングス
6524.T,6524,湖北工業
6525.T,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ
6526.T,6526,ソシオネクスト
6527.T,6527,ワカ製作所
6532.T,6532,ベイカレント
6533.T,6533,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ
6535.T,6535,アイモバイル
6537.T,6537,ＷＡＳＨハウス
6538.T,6538,ディスラプターズ
6539.T,6539,ＭＳ－Ｊａｐａｎ
6540.T,6540,船場
6542.T,6542,ＦＣホールディングス
6543.T,6543,日宣
6544.T,6544,ジャパンエレベーターサービスホールディングス
6545.T,6545,インターネットインフィニティー
6546.T,6546,フルテック
6547.T,6547,グリーンズ
6548.T,6548,旅工房
6549.T,6549,ディーエムソリューションズ
6551.T,6551,ツナググループ・ホールディングス
6552.T,6552,ＧａｍｅＷｉｔｈ
6554.T,6554,エスユーエス
6555.T,6555,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ
6557.T,6557,ＡＩＡＩグループ
6558.T,6558,クックビズ
6560.T,6560,エル・ティー・エス
6561.T,6561,ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ
6562.T,6562,ジーニー
6563.T,6563,みらいワークス
6564.T,6564,ミダックホールディングス
6565.T,6565,ＡＢホテル
6566.T,6566,要興業
6568.T,6568,神戸天然物化学
6570.T,6570,共和コーポレーション
6571.T,6571,キュービーネットホールディングス
6572.T,6572,オープングループ
6573.T,6573,アジャイルメディア・ネットワーク
6574.T,6574,コンヴァノ
6576.T,6576,揚工舎
6577.T,6577,ベストワンドットコム
6578.T,6578,コレックホールディングス
6579.T,6579,ログリー
6580.T,6580,ライトアップ
6584.T,6584,三櫻工業
6586.T,6586,マキタ
6588.T,6588,東芝テック
6590.T,6590,芝浦メカトロニクス
6592.T,6592,マブチモーター
6594.T,6594,ニデック
